Plant-Generic,2021-01-01_actual,2021-01-01_model,2021-02-01_actual,2021-02-01_model,2021-03-01_actual,2021-03-01_model,2021-04-01_actual,2021-04-01_model,2021-05-01_actual,2021-05-01_model,2021-06-01_actual,2021-06-01_model,2021-07-01_actual,2021-07-01_model,2021-08-01_actual,2021-08-01_model,2021-09-01_actual,2021-09-01_model,2021-10-01_actual,2021-10-01_model,2021-11-01_actual,2021-11-01_model,2021-12-01_actual,2021-12-01_model,2022-01-01_actual,2022-01-01_model,2022-02-01_actual,2022-02-01_model,2022-03-01_actual,2022-03-01_model,2022-04-01_actual,2022-04-01_model,2022-05-01_actual,2022-05-01_model,2022-06-01_actual,2022-06-01_model,2022-07-01_actual,2022-07-01_model,2022-08-01_actual,2022-08-01_model,2022-09-01_actual,2022-09-01_model
3803-21116,5003.0,4776.718896850034,7525.0,7330.300170944509,3018.0,3400.322769449016,4716.0,6461.3940944726055,12714.0,11430.919143087067,5887.0,5026.482493199423,5404.0,3812.988407911318,7288.0,8699.06756623838,3109.0,3750.1771231439434,5178.0,5175.856908701964,4465.0,4472.130643160612,8192.0,8180.6828851758055,1517.0,1757.0238568902287,7395.0,7574.825365881773,6053.0,5701.729757880166,7377.0,5610.736772818521,5364.0,6637.189952113575,6935.0,7787.557326278176,3502.0,5113.59723256142,9050.0,7649.412865026895,7791.0,7141.754916960528
3803-21778,8618.0,7910.563229021442,22245.0,21840.612469963286,34225.0,35352.785355324035,21727.0,24681.324123686936,13708.0,13338.699516229215,41060.0,38498.84292854733,18198.0,16015.254830523645,27307.0,27855.81359746912,12156.0,13748.653873138039,26126.0,26121.46504368468,21837.0,21837.069741343123,29193.0,29191.35527090823,16539.0,17240.95774742265,15350.0,15765.428038172427,30011.0,28899.54946163886,27143.0,24188.952879134613,10270.0,10603.020530376129,20150.0,22710.71684251078,18951.0,21142.55923004984,20511.0,19992.85328824382,18045.0,16439.0215693297
3803-22249,7848.0,7813.051272174052,6367.0,6355.805384897278,6739.0,6789.090687146934,6125.0,5797.500704847334,1453.0,1655.3334428436938,8862.0,9021.514691295743,2847.0,3207.1358397505246,8418.0,8245.217487636546,10901.0,10676.528937675175,6643.0,6639.9108895813115,8768.0,8772.017654615745,5919.0,5916.088585273479,4879.0,4915.803633333591,7551.0,7563.526874250965,12913.0,12862.923451080918,1898.0,2223.0618780863006,5078.0,4883.3826760028605,5241.0,5078.728798803233,1898.0,1540.0459674263257,12520.0,12686.951199757692,0.0,230.80229566793423
3803-2238,6027.0,11209.051625916152,17576.0,19929.578185677878,50965.0,43228.406086948,16081.0,13050.87904914131,25244.0,19659.70739055425,19876.0,26445.256012687227,13033.0,10786.962462035706,15846.0,19651.29291311954,17210.0,18052.481270012562,20997.0,21126.6567036059,24990.0,24889.377695146948,17634.0,17758.88153427234,25032.0,19819.7740834743,29218.0,26864.132760566776,27153.0,34821.96049928584,13437.0,16551.56774742098,7452.0,13019.79045229638,31949.0,25495.082844869,10049.0,12164.634901749843,25369.0,21726.104951831745,16557.0,15570.382294053736
3803-2277,8992.0,10755.356639989492,3888.0,5042.858605286776,19316.0,16381.772391250968,12060.0,8881.959920528898,4995.0,5251.008420676182,9382.0,12253.398286950658,6332.0,7767.922453196064,9236.0,8101.812461647001,11699.0,11488.596300383244,5491.0,5510.054625620367,10146.0,10130.752062228741,10758.0,10786.347716690536,9748.0,7979.298201068217,3271.0,2103.076467608975,4076.0,6967.1605005458405,0.0,3211.603555831185,3429.0,3179.294361089007,7355.0,4509.041002151731,1510.0,20.66992534446763,3406.0,4548.067534626491,4051.0,4247.145519908023
3803-2284,4291.0,4497.672666352366,3012.0,3398.5730360947564,5208.0,4590.824736149461,7939.0,6671.60565704789,3000.0,3472.498534514394,8385.0,9128.928088223507,3058.0,4074.1357620379204,8300.0,7561.714034781693,4500.0,4315.420745379328,4545.0,4527.8840236952165,8998.0,9013.451235973655,4509.0,4494.025054017682,3919.0,3725.328707113982,7920.0,7514.303862412296,4636.0,5251.307030962547,3847.0,5106.677476627614,3021.0,2568.00899714122,8563.0,7807.323915314901,4509.0,3494.997440984167,7050.0,7763.278409649189,4518.0,4721.603107848758
3803-2285,2316.0,2295.4932874528185,1158.0,1139.9053199663522,0.0,38.98847594421386,1158.0,1343.8220134281091,1158.0,1012.0054843840862,0.0,-47.22929621624462,1158.0,978.9425667393461,0.0,163.27095473516965,1158.0,1181.0618878784353,1158.0,1158.5562332043119,1094.0,1094.1018592941764,1158.0,1157.5315553872024,0.0,21.23106810810532,1158.0,1175.0306728490978,0.0,-36.13983053571974,1158.0,969.8710906817887,0.0,145.91584655437146,1158.0,1204.5310251401243,0.0,180.20366237783855,0.0,-161.54272381700503,1158.0,1133.114631933231
3803-2294,0.0,46.818260603611634,3599.0,3897.6377365280423,5158.0,4779.192304319533,4627.0,3066.691533176254,2985.0,3605.7514738440186,3253.0,4074.0688036691536,5566.0,7025.899955533889,5183.0,4390.524458388794,1362.0,872.0559978006131,8045.0,8023.874334464996,0.0,21.89315197977703,8217.0,8196.438419226059,0.0,-29.39762986101414,9720.0,9400.899631212818,8710.0,9090.882204434922,2595.0,4139.9780908344255,2724.0,2131.6041247317044,6684.0,5845.13844468016,12303.0,10853.678007506896,5425.0,6180.954038632262,4083.0,4601.66839375897
3803-23111,1040.0,1692.4959190190202,2132.0,1980.3520414325758,1040.0,512.8795081204662,4198.0,4418.707156684592,2504.0,1347.834265560181,1040.0,1648.183444710805,6740.0,5821.551218413959,0.0,1369.9746814598257,0.0,-79.33418220603926,4236.0,4259.964533888353,0.0,-17.029158992139855,0.0,19.474177209107438,3039.0,2378.5858394313072,1040.0,1190.4113977589732,3120.0,3649.327285844989,0.0,-220.68463594786954,1040.0,2194.61788505629,3835.0,3236.6495539634598,0.0,909.2629017778017,3620.0,2274.039576101066,1040.0,1090.6871586331472
3803-23115,3076.0,2974.4726313383653,5235.0,5172.341566107083,3048.0,3213.7142460456234,4165.0,4534.479665726547,3991.0,3913.003349901279,5352.0,5064.16888336149,0.0,-262.95335270417854,6759.0,6870.953661109503,2646.0,2791.5348597724005,3974.0,3975.0101043602626,3185.0,3184.7421067392424,8835.0,8834.387406596135,3538.0,3641.3911249305966,2957.0,3019.9653800747546,3629.0,3465.4151716196648,7519.0,7150.740026684602,0.0,72.94468581143155,4073.0,4359.730070004931,3529.0,3795.809688184476,3121.0,3010.8801587248818,4594.0,4446.008099327482
