Plant-Generic,2021-01-01_actual,2021-01-01_model,2021-02-01_actual,2021-02-01_model,2021-03-01_actual,2021-03-01_model,2021-04-01_actual,2021-04-01_model,2021-05-01_actual,2021-05-01_model,2021-06-01_actual,2021-06-01_model,2021-07-01_actual,2021-07-01_model,2021-08-01_actual,2021-08-01_model,2021-09-01_actual,2021-09-01_model,2021-10-01_actual,2021-10-01_model,2021-11-01_actual,2021-11-01_model,2021-12-01_actual,2021-12-01_model,2022-01-01_actual,2022-01-01_model,2022-02-01_actual,2022-02-01_model,2022-03-01_actual,2022-03-01_model,2022-04-01_actual,2022-04-01_model,2022-05-01_actual,2022-05-01_model,2022-06-01_actual,2022-06-01_model,2022-07-01_actual,2022-07-01_model,2022-08-01_actual,2022-08-01_model,2022-09-01_actual,2022-09-01_model
3803-2394,5914.0,4968.585462652052,994.0,370.8832323341958,1671.0,3390.073263908118,3535.0,3377.5316355057985,0.0,350.2155990555875,0.0,980.4710426657512,3436.0,4304.38163954057,2377.0,2757.7392512401784,5921.0,3235.48919315443,0.0,-9.428978555562935,2397.0,2414.27373379701,0.0,-31.033711084583047,2609.0,3567.8655377208233,2137.0,2748.4087133895882,5857.0,4163.98799953743,4726.0,4833.53928321495,4015.0,3708.6147120899277,4553.0,3528.8628064111617,4850.0,4015.2526069280248,5835.0,5395.290626541839,0.0,2705.9492266272555
3803-2397,7072.0,6771.589990436094,0.0,-34.73442308677477,3367.0,3721.372928377248,1276.0,2132.917860382164,924.0,893.6058131690152,2841.0,2182.9458170026187,3997.0,3395.1955197925404,3162.0,3209.47320146552,970.0,1327.6001808260917,5380.0,5368.715517765813,0.0,10.39652575827131,2796.0,2784.461954547731,2451.0,2759.3739673865075,3494.0,3520.805017402148,2004.0,1663.8950806225112,2079.0,1211.2571237312259,3759.0,3788.094677197052,831.0,1478.0298605915923,0.0,612.022148458309,4392.0,4340.738861120459,0.0,-351.8121744525197
3803-24178,4268.0,4955.786254711082,0.0,-245.8237262571438,0.0,-548.0763447205882,4268.0,2950.9906878079673,5335.0,3748.167422106899,0.0,2023.1438472353009,4268.0,4720.590131754329,0.0,2060.7291357040067,4268.0,2805.9579737781446,0.0,14.623302247684478,0.0,-0.9828455965071043,7469.0,7468.079169127479,4268.0,3591.943088629734,0.0,223.7905658038435,3201.0,3767.8493691875046,0.0,1284.304408597185,3201.0,4832.224828168124,8978.0,6943.727918308599,4415.0,3976.9180876243117,7287.0,5211.725390126954,5335.0,6785.32958562412
3803-24276,12149.0,14187.218834955025,20967.0,17880.674345073145,14236.0,15062.897842495613,9926.0,11417.853457541354,20207.0,13461.918534563865,2354.0,5064.124928262034,10994.0,8001.270767485446,13957.0,23352.613989634992,17747.0,14180.797399805611,10863.0,11134.75797330118,34865.0,34628.36407622301,0.0,217.84236609721847,29527.0,27278.239464119135,3459.0,6695.6956135552755,11554.0,10595.768308827071,17545.0,16133.150659564912,0.0,6610.808790261071,0.0,-2563.5612190765387,14157.0,17011.07799603141,35089.0,25872.59549882618,0.0,3260.3432385368505
3803-24302,0.0,44.181156912040024,4500.0,4527.424021339575,0.0,-72.73004551723716,4000.0,3812.4189227544866,3500.0,3548.829256503879,0.0,134.3512168998277,5500.0,5641.1215855658265,2200.0,2137.5842165464182,0.0,-72.06539594936658,2300.0,2299.4703391178955,5000.0,5000.607320588435,2000.0,1999.9662116265645,0.0,-43.8940080350485,4500.0,4472.275312299787,2300.0,2372.1933651681948,0.0,187.3609521877679,5500.0,5453.699166571279,2000.0,1865.8293712664404,2000.0,1858.102836357129,4000.0,4060.7603483836156,1000.0,1073.7616038017381
3803-24755,3168.0,2909.916865702893,12293.0,11967.806511323084,0.0,588.5271965268767,2110.0,1001.1070659292745,0.0,991.9625825689873,4207.0,4420.266666496493,3168.0,4621.082701627456,7843.0,7134.426353167219,4258.0,3397.246457830246,4220.0,4218.0199810669,9016.0,9014.62768743353,3850.0,3848.446021276468,4483.0,4732.894578100415,0.0,336.4925817656622,2110.0,1507.573221091705,2097.0,3209.0026297151635,2112.0,1126.3029575641267,6596.0,6378.844615402137,9794.0,8343.580508256797,5280.0,5964.100170756137,4746.0,5618.457671867422
3803-24787,11564.0,11045.92501363538,6608.0,6837.815810850108,7434.0,7828.767817287793,9086.0,7272.337741146126,5782.0,8654.405134310859,8260.0,8343.677779228718,7434.0,9818.883499819058,13216.0,10123.18432774581,11564.0,10954.236128850622,9086.0,9057.920946426217,9912.0,9944.20964209576,11564.0,11547.426117839554,10738.0,11268.79261414984,7434.0,7207.1386311236165,13216.0,12806.669062518584,4956.0,6778.643809325204,20650.0,17791.289499820195,14042.0,13937.656830259883,6608.0,4225.683131770872,6608.0,9644.38935910089,14042.0,14701.168421954922
3803-24788,3558.0,3285.548015500557,3558.0,4621.99164332317,7116.0,6576.600215284081,1199.0,5795.19202214657,5337.0,5458.270144183916,10848.0,7990.323774648918,12220.0,7918.840511617804,10984.0,9543.665673735639,3558.0,7058.32730073393,9341.0,9337.123606170353,0.0,-4.743291060585761,10230.0,10241.733868884272,5202.0,5471.281087149429,6227.0,5174.442599754286,2398.0,2937.9997882632597,18757.0,14205.649260508304,8451.0,8249.285955743195,8895.0,11778.613263316744,5647.0,9913.46741670571,4448.0,5970.333312315866,11022.0,7502.471263691143
3803-24880,18052.0,18717.279461093378,17612.0,16020.775734349649,35830.0,37518.735583098605,17610.0,31810.955917858402,36004.0,28481.3418278218,17158.0,15105.50818288722,89592.0,74410.65952463675,59764.0,68354.50634969358,53799.0,54519.2229783315,35736.0,35961.73128712975,36004.0,35817.697485181736,36089.0,36255.40223061235,29053.0,28253.645344628603,23338.0,25028.765523864073,53881.0,52200.55572978058,53884.0,39736.89093160839,54021.0,61346.26693963981,54107.0,56261.52237146546,13203.0,28273.038863817113,72195.0,63902.47043050511,36009.0,34999.872080422705
3803-25005,0.0,-232.38949977864831,0.0,-207.0061435370153,3510.0,3967.4207703553984,5319.0,7698.360963871717,4815.0,4165.57113146317,15016.0,13336.676142740653,15112.0,12961.950626779413,10427.0,11168.938714249423,7490.0,8827.894859148051,19220.0,19220.526013112103,5682.0,5680.045470264391,5422.0,5424.333555321748,6327.0,6558.254155598261,6328.0,6535.203523717151,12010.0,11570.509639404234,3616.0,1235.6987303473288,7127.0,7749.077511073672,10652.0,12332.210889062699,3806.0,5960.9028427991725,12494.0,11781.458508260679,12950.0,11597.151110992432
