,0
3809-18116,1.147_0.98
3809-26348,2.0_0.993
3809-24048,0.862_0.879
3811-25878,1.518_0.843
3809-23913,1.127_0.996
3803-23111,2.0_0.889
3809-2609,0.324_1.0
3803-26346,1.306_0.968
3811-26290,0.374_1.0
3833-2471,1.092_0.964
3811-24759,1.361_0.975
3803-461,1.769_0.996
3841-26638,1.431_0.778
3809-3002,1.347_0.942
3811-26002,0.841_0.979
3809-26375,0.574_0.931
3809-1661,2.0_0.955
3811-23111,0.525_1.0
3811-2328,0.92_1.0
3811-1910,1.517_0.904
3803-7203,1.576_0.99
3833-24880,1.093_0.981
3841-21116,1.079_0.996
3803-24302,0.616_0.999
3811-18853,2.0_0.997
3833-9949,0.766_0.999
3809-412,1.599_0.997
3809-10357,1.197_0.967
3811-1840,0.683_1.0
3803-1360,0.556_0.897
3841-15808,1.686_0.945
3841-13410,1.506_0.957
3841-10859,0.78_0.997
3803-10664,1.062_1.0
3803-2397,1.447_0.974
3811-1378,1.48_0.849
3811-24028,0.957_1.0
3841-19536,1.112_0.998
3803-15467,0.219_0.955
3803-5556,2.0_0.988
3811-25126,1.428_0.928
3809-4621,1.267_0.958
3809-2390,1.653_0.791
3833-19375,0.958_0.931
3809-16896,1.383_0.985
3833-5675,0.646_0.997
3841-7932,1.919_0.994
3811-8838,1.348_0.96
3809-8624,1.179_0.918
3811-7057,1.077_0.965
3833-21117,1.728_0.903
3841-1840,1.157_0.832
3833-7203,2.0_0.949
3811-22891,0.9_0.999
3811-24743,0.253_1.0
3841-26002,1.225_0.984
3841-21782,0.691_0.993
3811-13410,1.683_0.944
3811-26820,1.509_0.871
3811-25144,1.166_0.987
3809-20176,1.272_0.855
3841-2285,0.409_0.996
3809-8811,1.845_0.931
3809-22780,0.552_0.721
3811-19900,0.409_0.915
3841-18125,0.877_0.996
3811-19420,1.548_0.864
3809-26169,1.221_0.957
3809-9858,1.075_0.965
3809-24816,1.598_0.933
3811-4645,1.313_0.996
3809-7422,2.0_0.948
3841-25141,0.929_0.997
3803-9949,2.0_0.999
3809-26735,1.068_0.878
3809-20769,0.94_0.957
3833-26292,1.516_0.89
3841-16107,1.075_1.0
3809-2328,1.112_0.985
3811-13810,0.87_0.991
3811-30046,1.315_0.917
3809-10931,1.1_0.963
3811-26492,0.737_0.959
3811-8586,0.583_0.958
3811-26884,1.958_0.978
3809-18171,1.847_1.0
3841-26348,2.0_0.862
3841-16611,0.26_1.0
3809-30046,1.074_0.975
3833-26278,2.0_0.934
3841-10932,0.823_1.0
3833-20169,1.497_0.96
3811-16055,2.0_0.979
3811-18885,1.187_0.967
3811-10316,1.2_0.914
3803-31080,1.943_0.879
3809-23201,1.667_0.944
3811-25149,1.628_0.909
